Identifiant,Nom du commerce,Numéro voie,Nom voie,Code postal,Nom commune,Longitude,Latitude,geo_shape,geo_point_2d,zone,commerce_address
997,WOODY,168,RUE DE LA CONVENTION,0,,2.293317,48.838521,"{""coordinates"": [2.2933170004016747, 48.83852099891114], ""type"": ""Point""}","48.83852099891114, 2.2933170004016747",Saint-Lambert,168 RUE DE LA CONVENTION
1011,HOTEL EIFFEL BLOMET,78,RUE BLOMET,0,,2.302377,48.841599,"{""coordinates"": [2.302377000476009, 48.84159899908829], ""type"": ""Point""}","48.84159899908829, 2.302377000476009",Saint-Lambert,78 RUE BLOMET
1020,LA TERRASSE,2,PLACE DE L ECOLE MILITAIRE,0,,2.305759,48.85474,"{""coordinates"": [2.305758999349807, 48.85473999939944], ""type"": ""Point""}","48.85473999939944, 2.305758999349807",Necker,2 PLACE DE L ECOLE MILITAIRE
1086,LA CREPERIE DE PONTIVY,29,AVENUE DU MAINE,0,,2.320962,48.842909,"{""coordinates"": [2.3209620006013174, 48.84290899878546], ""type"": ""Point""}","48.84290899878546, 2.3209620006013174",Necker,29 AVENUE DU MAINE
1101,GARCON !,83,RUE DU CHERCHE-MIDI,0,,2.323026,48.847605,"{""coordinates"": [2.3230259994815463, 48.847604998905986], ""type"": ""Point""}","48.847604998905986, 2.3230259994815463",Necker,83 RUE DU CHERCHE-MIDI
955,CHEZ MA POULE,7,RUE GROS,0,,2.27736,48.851271,"{""coordinates"": [2.27736000062664, 48.85127099891308], ""type"": ""Point""}","48.85127099891308, 2.27736000062664",Grenelle,7 RUE GROS
1835,ATELIER JOZON,30,RUE DE L ABBE GROULT,0,,2.294569,48.841753,"{""coordinates"": [2.2945689994693597, 48.841752999460994], ""type"": ""Point""}","48.841752999460994, 2.2945689994693597",Saint-Lambert,30 RUE DE L ABBE GROULT
975,LIBRAIRIE L INSTANT,118,RUE DE LOURMEL,0,,2.285761,48.842505,"{""coordinates"": [2.2857609997621613, 48.84250499916823], ""type"": ""Point""}","48.84250499916823, 2.2857609997621613",Saint-Lambert,118 RUE DE LOURMEL
985,BEST FRANCE TRADING,37,RUE ROUELLE,0,,2.28893,48.849831,"{""coordinates"": [2.288929999916322, 48.849830999138504], ""type"": ""Point""}","48.849830999138504, 2.288929999916322",Grenelle,37 RUE ROUELLE
1066,LE FOURNIL DE GUILLAUME,70,RUE DE SEVRES,0,,2.318916,48.847764,"{""coordinates"": [2.3189159994259354, 48.84776399883702], ""type"": ""Point""}","48.84776399883702, 2.3189159994259354",Necker,70 RUE DE SEVRES
1071,QUATREHOMME,62,RUE DE SEVRES,0,,2.319611,48.848042,"{""coordinates"": [2.3196110000069594, 48.84804199947933], ""type"": ""Point""}","48.84804199947933, 2.3196110000069594",Necker,62 RUE DE SEVRES
